Şehir,İlçe Adı,Tarih,Başlangıç Tarih - Saati,Bitiş Tarih - Saati,Bölgeler(Semt-Mahalle),Latitude,Longitude
AKSARAY,Ortaköy,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,ORTAKÖY İŞLETMESİ,38.736624,34.0412195
AKSARAY,Aksaray Merkez,30.08.2024,2024-08-30 09:30:00,2024-08-30 11:00:00,AKSARAY-2 İŞLETMESİ,38.3705416,34.026907
ANTALYA,Korkuteli,30.08.2024,2024-08-30 09:30:00,2024-08-30 16:30:00,KORKUTELİ,37.0666523,30.1970497
ANTALYA,Alanya,30.08.2024,2024-08-30 09:30:00,2024-08-30 16:30:00,ALANYA,36.8864752,30.7029585
ANTALYA,Manavgat,30.08.2024,2024-08-30 01:00:00,2024-08-30 05:00:00,MANAVGAT,36.7870124,31.4406667
ANTALYA,Kaş,30.08.2024,2024-08-30 09:00:00,2024-08-30 16:00:00,KAŞ,36.1993752,29.6413365
BALIKESIR,Savaştepe,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,SAVAŞTEPE,39.3855971,27.6559932
BALIKESIR,Burhaniye,30.08.2024,2024-08-30 12:00:00,2024-08-30 16:00:00,BURHANİYE,39.503059,26.9807755
BALIKESIR,Burhaniye,30.08.2024,2024-08-30 14:00:00,2024-08-30 18:00:00,BURHANİYE,39.503059,26.9807755
BALIKESIR,Burhaniye,30.08.2024,2024-08-30 09:00:00,2024-08-30 13:00:00,BURHANİYE,39.503059,26.9807755
BOLU,Gerede,30.08.2024,2024-08-30 14:00:00,2024-08-30 16:00:00, DAYIOGLU MAH. DAYIOĞLU MAH.,40.7987548,32.2009075
BOLU,Bolu Merkez,30.08.2024,2024-08-30 11:00:00,2024-08-30 12:30:00, AKÇAALAN KÖYÜ AKÇAALAN MAH. MERKEZ MAH.,40.7332953,31.6110479
BOLU,Mudurnu,30.08.2024,2024-08-30 11:00:00,2024-08-30 12:30:00, DERECEÖREN KÖYÜ MERKEZ KÖYÜ,40.4656959,31.2112312
BOLU,Gerede,30.08.2024,2024-08-30 10:00:00,2024-08-30 12:00:00, DAYIOGLU MAH. DAYIOĞLU KÖYÜ DAYIOĞLU MAH.,40.7987548,32.2009075
BOLU,Bolu Merkez,30.08.2024,2024-08-30 09:00:00,2024-08-30 10:30:00, AKÇAALAN MAH. MERKEZ MAH. ÇATAK MAH.,40.7332953,31.6110479
BOLU,Göynük,30.08.2024,2024-08-30 10:00:00,2024-08-30 17:00:00, HALLAR KÖYÜ,40.3983169,30.7866167
BOLU,Bolu Merkez,30.08.2024,2024-08-30 09:30:00,2024-08-30 17:30:00, MERKEZ KÖYÜ YENIGÜNEY YAYLASI YENİGÜNEY KÖYÜ YENİGÜNEY YAYLASI,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 14:30:00,2024-08-30 15:30:00, DERECEÖREN MAH. MERKEZ MAH.,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 09:00:00,2024-08-30 10:30:00, DERECEÖREN KÖYÜ MERKEZ KÖYÜ,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 13:00:00,2024-08-30 14:30:00, DERECEÖREN KÖYÜ MERKEZ KÖYÜ,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 13:00:00,2024-08-30 14:30:00, DERECEÖREN MAH. MERKEZ KÖYÜ MERKEZ MAH.,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 09:30:00,2024-08-30 12:00:00, KÜÇÜKBERK KÖYÜ KÜÇÜKBERK MAH. MERKEZ MAH. SÜMER MAH. ÇAYIRKÖY MAH.,40.7332953,31.6110479
BOLU,Bolu Merkez,30.08.2024,2024-08-30 14:00:00,2024-08-30 16:30:00, SÜMER KÖYÜ SÜMER MAH.,40.7332953,31.6110479
BURSA,Osmangazi,30.08.2024,2024-08-30 09:00:00,2024-08-30 12:00:00,OSMANGAZİ,40.1865869,29.0566736
BURSA,İnegöl,30.08.2024,2024-08-30 01:00:00,2024-08-30 03:00:00,İNEGÖL,40.0800359,29.5096528
BURSA,Mustafakemalpaşa,30.08.2024,2024-08-30 09:00:00,2024-08-30 13:00:00,MUSTAFAKEMALPAŞA,40.0350725,28.4132778
CANAKKALE,Çanakkale Merkez,30.08.2024,2024-08-30 02:00:00,2024-08-30 03:00:00,MERKEZ,40.146271,26.4028892
DÜZCE,Kaynaşlı,30.08.2024,2024-08-30 09:00:00,2024-08-30 15:00:00, MERKEZ MAH. YENIDOGAN MAH. YENİDOĞAN KÖYÜ YENİDOĞAN MAH.,40.7720977,31.3192011
DÜZCE,Akçakoca,30.08.2024,2024-08-30 05:00:00,2024-08-30 07:00:00, BALATLI KÖYÜ BEYÖREN KÖYÜ GÖKTEPE KÖYÜ KEPENÇ KÖYÜ KINIK KÖYÜ KOÇAR KÖYÜ KOÇULLU KÖYÜ KURUGÖL KÖYÜ KÖYÜN KENDISI KÖYÜN KENDİSİ KİRAZLI KÖYÜ ORTANCA KÖYÜ SARIYAYLA KÖYÜ YEŞİLKÖY KÖYÜ,41.0882278,31.1239833
DÜZCE,Düzce Merkez,30.08.2024,2024-08-30 09:00:00,2024-08-30 13:00:00, ALTUNÇAY KÖYÜ DERE KÖYÜ KURTSUYU KÖYÜ KÖYÜN KENDISI MERKEZ KÖYÜ OTLAKLAR KÖYÜ PETEKLI KÖYÜ PETEKLİ KÖYÜ SUBAŞI KÖYÜ TANTAN KUYU TEKİRPINAR KÖYÜ TONYALI KÖYÜ,40.8391531,31.1595361
ISPARTA,Keçiborlu,30.08.2024,2024-08-30 10:00:00,2024-08-30 17:00:00,KEÇİBORLU,37.9448799,30.3003582
ISPARTA,Keçiborlu,30.08.2024,2024-08-30 10:00:00,2024-08-30 17:00:00,KEÇİBORLU,37.9448799,30.3003582
ISPARTA,Yalvaç,30.08.2024,2024-08-30 09:00:00,2024-08-30 16:00:00,YALVAÇ,38.2994784,31.1759426
KARAMAN,Ermenek,30.08.2024,2024-08-30 08:45:00,2024-08-30 12:45:00,ERMENEK İŞLETMESİ,36.6389037,32.8888721
KAYSERI,İncesu,30.08.2024,2024-08-30 08:30:00,2024-08-30 17:00:00,SARIKÜRKLÜ MAH. SÜLEYMAN DERESİ SOK. VE CİVARLARINDA / ÇARDAKLI MAH. SÜLEYMAN DERESİ SOK. VE CİVARLARINDA / ,38.6233834,35.1838195
KAYSERI,Tomarza,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:30:00,KAPUKAYA MAH. KAPUKAYA KÜM.EV. VE CİVARLARINDA / ,38.7163126,35.4939878
KAYSERI,Melikgazi,30.08.2024,2024-08-30 08:30:00,2024-08-30 17:00:00,"MİMARSİNAN MAH. 1971.SOK., 1959.SOK., HÖYÜKALTI SOK., SEYYİD BURHANEDDİN 1. SOK., ALPARSLAN 1. SOK., BİLGEHAN CAD., 1960. SOK., 1970. SOK., RÜZGARLI 1. CAD., ŞİRİNTEPE SOK., 1984. SOK., HÖYÜK 1.KÜMEEVLER, 1969. SOK., 1987.SOK., ERCİYES 1. CAD., HACI ARİF BEY CAD. VE CİVARLARINDA / ",38.7279951,35.5249867
KAYSERI,Develi,30.08.2024,2024-08-30 09:30:00,2024-08-30 15:00:00,ŞAHMELİK MAH. ŞAHMELİK KÜM.EV. VE CİVARLARINDA / ,38.3879285,35.4900997
KAYSERI,Kocasinan,30.08.2024,2024-08-30 08:30:00,2024-08-30 17:00:00,MOLU MAH. MOLU KÜM.EV. VE CİVARLARINDA / ,38.7395414,35.4817131
KAYSERI,Pınarbaşı,30.08.2024,2024-08-30 08:30:00,2024-08-30 17:30:00,"KAYAÖNÜ MAH. YOKUŞ SOK., ŞHT. NECMETTİN KELEŞ SOK., 590.SOK., GÜL SOK., BEŞTEPE CAD. VE CİVARLARINDA / İNÖNÜ MAH. ŞİRİN SOK., ŞHT. OSMAN YILMAZ SOK., KARANFİL CAD., İSMET PAŞA CAD., BEŞTEPE CAD., KUBİLAY SOK. VE CİVARLARINDA / ",,
KIRSEHIR,Akpınar,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,KAMAN İŞLETMESİ,39.4479684,33.9639275
KIRSEHIR,Kırşehir Merkez,30.08.2024,2024-08-30 09:00:00,2024-08-30 12:00:00,KIRŞEHİR İŞLETMESİ,39.1461142,34.1605587
KIRSEHIR,Mucur,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,KIRŞEHİR İŞLETMESİ,39.0602118,34.3800488
KOCAELI,Kartepe,30.08.2024,2024-08-30 16:30:00,2024-08-30 17:30:00, ERTUĞRUL GAZİ UZUNBEY MAH.,40.7454357,30.0112827
KONYA,Akşehir,30.08.2024,2024-08-30 08:45:00,2024-08-30 12:30:00,AKŞEHİR İŞLETMESİ,38.3588503,31.4201959
KONYA,Karatay,30.08.2024,2024-08-30 09:00:00,2024-08-30 12:00:00,KARATAY-1 İŞLETMESİ,37.8710438,32.5030448
KONYA,Kulu,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,KULU İŞLETMESİ,39.0903057,33.0805302
KONYA,Karatay,30.08.2024,2024-08-30 13:00:00,2024-08-30 18:00:00,KARATAY-1 İŞLETMESİ,37.8710438,32.5030448
KONYA,Akşehir,30.08.2024,2024-08-30 13:30:00,2024-08-30 17:30:00,AKŞEHİR İŞLETMESİ,38.3588503,31.4201959
KONYA,Karapınar,30.08.2024,2024-08-30 14:00:00,2024-08-30 15:00:00,KARAPINAR İŞLETMESİ,37.7177584,33.5476273
KONYA,Çumra,30.08.2024,2024-08-30 09:00:00,2024-08-30 14:00:00,ÇUMRA İŞLETMESİ,37.5713333,32.7811767
KONYA,Karapınar,30.08.2024,2024-08-30 13:30:00,2024-08-30 18:30:00,KARAPINAR İŞLETMESİ,37.7177584,33.5476273
NEVSEHIR,Derinkuyu,30.08.2024,2024-08-30 10:00:00,2024-08-30 12:00:00,NEVŞEHİR-1 İŞLETMESİ,38.3743882,34.7336187
NEVSEHIR,Derinkuyu,30.08.2024,2024-08-30 09:30:00,2024-08-30 17:30:00,NEVŞEHİR-1 İŞLETMESİ,38.3743882,34.7336187
NEVSEHIR,Avanos,30.08.2024,2024-08-30 09:30:00,2024-08-30 17:30:00,ÜRGÜP İŞLETMESİ,38.7187371,34.8468663
NEVSEHIR,Derinkuyu,30.08.2024,2024-08-30 09:30:00,2024-08-30 17:30:00,NEVŞEHİR-1 İŞLETMESİ,38.3743882,34.7336187
NIĞDE,Bor,30.08.2024,2024-08-30 09:00:00,2024-08-30 14:00:00,BOR İŞLETMESİ,37.8963169,34.5627312
NIĞDE,Niğde Merkez,30.08.2024,2024-08-30 13:00:00,2024-08-30 17:00:00,NİĞDE-2 İŞLETMESİ,37.969849,34.6764495
NIĞDE,Bor,30.08.2024,2024-08-30 09:00:00,2024-08-30 17:00:00,BOR İŞLETMESİ,37.8963169,34.5627312
NIĞDE,Çamardı,30.08.2024,2024-08-30 09:30:00,2024-08-30 17:30:00,NİĞDE-1 İŞLETMESİ,37.83441,34.9863918
NIĞDE,Bor,30.08.2024,2024-08-30 09:00:00,2024-08-30 11:00:00,BOR İŞLETMESİ,37.8963169,34.5627312
NIĞDE,Niğde Merkez,30.08.2024,2024-08-30 09:00:00,2024-08-30 12:00:00,NİĞDE-2 İŞLETMESİ,37.969849,34.6764495
NIĞDE,Bor,30.08.2024,2024-08-30 09:00:00,2024-08-30 11:00:00,BOR İŞLETMESİ,37.8963169,34.5627312
NIĞDE,Altunhisar,30.08.2024,2024-08-30 12:30:00,2024-08-30 17:30:00,BOR İŞLETMESİ,37.9990127,34.3715056
NIĞDE,Niğde Merkez,30.08.2024,2024-08-30 14:00:00,2024-08-30 17:00:00,NİĞDE-2 İŞLETMESİ,37.969849,34.6764495
