Şehir,İlçe Adı,Tarih,Başlangıç Tarih - Saati,Bitiş Tarih - Saati,Bölgeler(Semt-Mahalle),Latitude,Longitude
ADIYAMAN,Kahta,06.07.2025,2025-07-06 09:00:00,2025-07-06 17:00:00,"* Belenli, Boztarla, Cakiresme, Yuksek y",,
ANTALYA,Döşemealtı,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,DÖŞEMEALTI,,
ANTALYA,Akseki,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,AKSEKİ,,
ANTALYA,Gazipaşa,06.07.2025,2025-07-06 09:00:00,2025-07-06 18:00:00,GAZİPAŞA,,
ANTALYA,Gazipaşa,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,GAZİPAŞA,,
ANTALYA,Alanya,06.07.2025,2025-07-06 09:00:00,2025-07-06 14:00:00,ALANYA,,
ANTALYA,Finike,06.07.2025,2025-07-06 03:00:00,2025-07-06 07:00:00,FİNİKE,,
ANTALYA,Alanya,06.07.2025,2025-07-06 09:00:00,2025-07-06 14:00:00,ALANYA,,
ANTALYA,Alanya,06.07.2025,2025-07-06 13:00:00,2025-07-06 18:00:00,ALANYA,,
ANTALYA,Manavgat,06.07.2025,2025-07-06 10:00:00,2025-07-06 17:00:00,MANAVGAT,,
ANTALYA,Alanya,06.07.2025,2025-07-06 13:00:00,2025-07-06 18:00:00,ALANYA,,
ANTALYA,Manavgat,06.07.2025,2025-07-06 09:00:00,2025-07-06 17:00:00,MANAVGAT,,
ANTALYA,Elmalı,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,ELMALI,,
ANTALYA,Manavgat,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,MANAVGAT,,
ANTALYA,Serik,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,SERİK,,
ANTALYA,Finike,06.07.2025,2025-07-06 09:00:00,2025-07-06 16:00:00,FİNİKE,,
BALIKESIR,Manyas,06.07.2025,2025-07-06 11:00:00,2025-07-06 12:00:00,MANYAS,,
