Şehir,İlçe Adı,Tarih,Kesinti Sayısı,Latitude,Longitude
ADANA,Ceyhan,28.09.2024,15,37.0288825,35.8124428
ADANA,Feke,28.09.2024,2,37.8151789,35.9136775
ADANA,Karaisalı,28.09.2024,4,37.2571843,35.0586409
ADANA,Karataş,28.09.2024,8,36.5646007,35.3841416
ADANA,Kozan,28.09.2024,9,37.4477712,35.8167812
ADANA,Pozantı,28.09.2024,2,37.42426,34.8727713
ADANA,Saimbeyli,28.09.2024,2,37.9845639,36.0888261
ADANA,Sarıçam,28.09.2024,6,37.152126,35.5062407
ADANA,Seyhan,28.09.2024,15,36.989907,35.3214211
ADANA,Yumurtalık,28.09.2024,2,36.7675867,35.7915869
ADANA,Yüreğir,28.09.2024,15,36.9894584,35.3408834
ADANA,Çukurova,28.09.2024,6,37.0468862,35.2823275
ADANA,İmamoğlu,28.09.2024,1,37.2577128,35.6613373
ADIYAMAN,Adıyaman Merkez,28.09.2024,16,37.7602985,38.2772986
ADIYAMAN,Besni,28.09.2024,2,37.6910896,37.8622739
ADIYAMAN,Gerger,28.09.2024,3,38.029339,39.0333202
ADIYAMAN,Gölbaşı,28.09.2024,8,37.7844045,37.6395601
ADIYAMAN,Kahta,28.09.2024,9,37.7860716,38.6217178
ADIYAMAN,Sincik,28.09.2024,3,38.0291332,38.6194328
ANKARA,Akyurt,28.09.2024,4,40.1307529,33.0870676
ANKARA,Altındağ,28.09.2024,1,39.9333547,32.8597454
ANKARA,Bala,28.09.2024,8,39.553364,33.1237528
ANKARA,Beypazarı,28.09.2024,5,40.1661927,31.9207632
ANKARA,Elmadağ,28.09.2024,3,39.9173198,33.2343945
ANKARA,Etimesgut,28.09.2024,3,39.9489423,32.6620792
ANKARA,Evren,28.09.2024,1,39.0221203,33.8078573
ANKARA,Gölbaşı,28.09.2024,28,39.7925289,32.8066652
ANKARA,Güdül,28.09.2024,2,40.2104614,32.2432252
ANKARA,Haymana,28.09.2024,9,39.4332899,32.4947912
